mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,zcr,form1,form2,form3,form4,m_centr,m_rollof,m_flatness,label
-1.6056,-1.6587,-1.5391,-1.4648,-1.2239,-1.4208,-1.2896,-1.0677,-1.1001,-1.1219,-1.2286,-0.97936,-0.97867,0.086422,1043.3,1612.9,1830.7,2715.9,1892.5,2782.2,0.0022272,bird
-1.2335,-1.1685,-1.2316,-1.115,-1.1562,-1.1472,-1.1346,-1.1162,-1.1719,-1.1869,-1.1122,-1.0907,-1.0907,0.078787,1150.8,1537.5,1880.4,2856.1,1709.8,2725.4,0.0031691,bird
-1.6083,-1.3429,-1.1602,-0.9541,-0.90976,-0.98647,-0.83293,-0.91236,-0.96159,-0.82956,-0.90305,-0.84228,-0.80186,0.074252,1058.6,1479.9,1854.4,2699.1,1615.6,2498.4,0.0028627,bird
-0.28702,-0.28861,-0.27411,-0.29119,-0.31026,-0.31479,-0.28672,-0.39216,-0.2969,-0.34134,-0.33215,-0.35646,-0.42049,0.036012,105.13,1389.7,1554.8,3020.6,518.67,1745.3,0.003604,bird
-0.62176,-0.58382,-0.68176,-0.65926,-0.5713,-0.59685,-0.59564,-0.67545,-0.60402,-0.52637,-0.52882,-0.50514,-0.56938,0.07767,988.13,1486.4,2270.8,4233,1489.3,2581.5,0.0070631,bird
-0.57771,-0.66968,-0.65352,-0.52417,-0.59383,-0.59252,-0.57641,-0.56336,-0.5702,-0.61174,-0.50646,-0.53853,-0.52982,0.062314,1031,1367.4,2022.7,2796.2,1342.3,1871.7,0.0040961,bird
-0.91148,-0.90948,-0.91968,-0.86612,-0.97063,-0.93607,-0.8374,-0.87188,-0.88302,-0.80351,-0.90074,-0.93422,-0.87298,0.062987,643,1367.2,1933.7,3164,1193,1887,0.0051898,bird
-0.78524,-0.80681,-0.79096,-0.79327,-0.81004,-0.75319,-0.84892,-0.92807,-0.92073,-0.78862,-0.70669,-0.82638,-0.98073,0.070477,679.59,1447.7,2010.9,3327.1,1473.4,1973,0.0029824,bird
-0.89567,-0.8695,-0.73463,-0.72216,-0.72721,-0.7913,-0.79623,-0.83073,-0.89331,-0.81402,-0.75897,-0.72219,-0.78726,0.073793,588.54,1611,1652,2826.1,1439.4,2449.6,0.0065137,bird
-0.71787,-0.67498,-0.72404,-0.72584,-0.71604,-0.69983,-0.6825,-0.60532,-0.5686,-0.56206,-0.58914,-0.51984,-0.51291,0.018276,1129.2,1637,3444,4741.1,254.06,921.95,0.00079867,bird
-0.84136,-0.85684,-0.92031,-0.91634,-0.87922,-0.919,-0.79498,-0.85768,-0.77161,-0.74972,-0.72567,-0.70126,-0.63836,0.051383,1221.7,1621.4,2444.8,3027.5,1003,1765.2,0.0030146,bird
-0.99226,-0.9139,-0.84189,-0.7928,-0.82021,-0.85635,-0.81379,-0.87898,-0.9399,-1.0234,-0.88233,-0.83608,-0.85054,0.080619,1258.7,1818.5,2383.1,5778.8,1700.3,2742.8,0.0023431,bird
-0.5662,-0.64235,-0.68606,-0.72923,-0.64498,-0.59296,-0.54014,-0.55436,-0.58002,-0.53712,-0.63684,-0.65817,-0.64673,0.019873,1322,1920.5,3337.4,5186.3,251.23,1140.2,0.0026396,bird
-0.88902,-0.85522,-0.8381,-0.81767,-0.94583,-0.91892,-0.81957,-0.84308,-0.78432,-0.79414,-0.76468,-0.73302,-0.7157,0.078539,1225.9,1579.8,2029.2,3698,1678.9,2665.8,0.0032185,bird
-1.1819,-1.1774,-1.2558,-1.3396,-1.2126,-1.2767,-1.2797,-1.2001,-1.1627,-1.3232,-1.2124,-1.24,-1.2605,0.093277,642.26,1505.9,1938.6,3298.8,1895.8,4002,0.0066994,bird
-0.93001,-0.84027,-0.75521,-0.80026,-0.86128,-0.90558,-0.93665,-0.86282,-0.8553,-0.7751,-0.87508,-0.88232,-0.87738,0.10005,1184.4,2020.9,2731.8,2953.9,2177.3,3145,0.0068716,bird
-0.4693,-0.57102,-0.53101,-0.54517,-0.47857,-0.4457,-0.52545,-0.54536,-0.53579,-0.41791,-0.47994,-0.51317,-0.54686,0.05611,1227.1,1718.4,2179.3,3044.9,946.22,2220.9,0.0028787,bird
-0.59847,-0.65428,-0.57462,-0.47254,-0.55527,-0.58984,-0.58814,-0.53993,-0.47418,-0.47435,-0.48702,-0.56302,-0.54352,0.080571,1348.4,1976.3,3055.2,4528.9,1631.4,2600.3,0.0040008,bird
-0.72168,-0.76644,-0.7442,-0.65234,-0.70849,-0.64095,-0.67255,-0.80381,-0.73269,-0.69358,-0.63502,-0.74683,-0.81139,0.066837,1099.2,1471.9,2115.1,3142.7,1331.5,2151.9,0.0013944,bird
-0.47,-0.45517,-0.39213,-0.35385,-0.44171,-0.52652,-0.42391,-0.45467,-0.52756,-0.58419,-0.5648,-0.47895,-0.41041,0.053162,355.59,1066.1,2133.7,2657.2,972.53,2152,0.0031784,bird
-0.5605,-0.64182,-0.49385,-0.39746,-0.44303,-0.49927,-0.48853,-0.49411,-0.56558,-0.5707,-0.55513,-0.54077,-0.41953,0.060798,599.93,1530,2042,2770.1,1071.8,2367.9,0.004113,bird
-0.71304,-0.81934,-0.8276,-0.81296,-0.73515,-0.7345,-0.76566,-0.64005,-0.59074,-0.5906,-0.68096,-0.63534,-0.63103,0.13589,1252.4,1811.5,3455.1,4771.9,2586.1,6602,0.014169,bird
-0.49835,-0.46617,-0.4357,-0.47543,-0.46251,-0.43783,-0.5268,-0.56913,-0.51681,-0.52157,-0.57034,-0.5127,-0.58384,0.022554,1282.9,1768.8,3117.1,4420.3,346.25,1001.6,0.0027709,bird
-1.0404,-0.97249,-0.92927,-0.88871,-0.97622,-1.0208,-1.001,-1.0324,-0.95555,-0.98181,-1.0618,-1.1533,-0.93461,0.076361,722.32,1604.5,1982,3367.4,1466.8,2304,0.0046186,bird
-0.7032,-0.63461,-0.56081,-0.47954,-0.56662,-0.47908,-0.48335,-0.51356,-0.53382,-0.52275,-0.49788,-0.50003,-0.56644,0.071408,936.52,1627.1,2243.4,3233.8,1356.3,2395.7,0.0037803,bird
-1.0566,-1.0527,-0.98238,-0.94661,-1.0486,-1.0526,-0.98988,-0.96199,-0.95299,-0.98054,-1.0172,-1.0241,-0.97145,0.089437,1217.1,1862.1,2060.3,3286.6,1843.8,3554,0.0054967,bird
-1.0889,-1.1622,-1.1188,-1.1427,-1.1324,-1.0321,-1.0461,-1.1676,-1.1131,-1.1225,-1.1526,-1.0481,-1.0959,0.1002,1127.3,1520.1,2010.5,3378.5,1962.4,4127.6,0.0045326,bird
-1.5087,-1.3836,-1.3629,-1.2442,-1.0991,-1.0818,-1.1809,-1.2542,-0.99238,-1.0067,-0.96454,-0.94005,-1.0919,0.076508,1100.1,1477.6,2028.6,2550.5,1598.5,2692.8,0.0024896,bird
-0.7812,-0.72281,-0.71867,-0.7204,-0.61182,-0.65371,-0.64472,-0.59004,-0.64859,-0.6235,-0.56117,-0.64922,-0.47655,0.085817,1222.3,1651.6,2417.7,3119.9,1625.3,3048.4,0.0045506,bird
-0.80614,-0.7565,-0.8012,-0.68264,-0.68854,-0.65932,-0.6549,-0.6383,-0.67202,-0.61198,-0.66874,-0.62458,-0.66335,0.083568,1116.5,1830,2124.1,3082.9,1693.6,2849.6,0.0034815,bird
-0.71986,-0.55997,-0.59033,-0.65379,-0.65422,-0.74179,-0.72344,-0.61014,-0.60247,-0.6098,-0.66636,-0.59395,-0.59529,0.037396,832.48,1472.2,2388.2,3396.5,545.99,1758.6,0.0036516,bird
-0.56618,-0.5794,-0.69422,-0.51541,-0.61257,-0.72966,-0.58448,-0.5716,-0.59197,-0.64551,-0.59994,-0.61052,-0.65936,0.090306,1546.5,1593.4,2416.1,3138.5,1700.3,3083.3,0.0051625,bird
-0.91568,-0.97131,-1.0004,-0.97439,-0.97358,-1.0378,-1.0101,-0.94939,-0.97821,-0.9625,-0.86879,-1.058,-0.98361,0.086581,1515.7,1728.5,2362.1,3337.1,1838.3,3268.2,0.0044929,bird
-0.38945,-0.34468,-0.2895,-0.33388,-0.42261,-0.4293,-0.44206,-0.58366,-0.50381,-0.46777,-0.54703,-0.64776,-0.53918,0.083321,1180.3,1701.5,3126.4,4453.1,1613,4288.4,0.0084762,bird
-1.1214,-1.0461,-1.0451,-0.9061,-0.90381,-1.0399,-0.99947,-1.0596,-1.0463,-0.99118,-1.0049,-0.97607,-0.88548,0.037623,966.97,1496.1,2181.7,3513.9,446.6,1958.5,0.0050524,bird
